X,Y,Z,nx,ny,nz,feature_name,val
4300,1000,7500,-0.34018939,0.14293349,0.929430576,S0,1
5200,1000,6800,0.762707358,0.011858777,-0.646635025,S0,
4000,1000,5600,0.10189373,0.010166427,0.994743339,S0,
4000,1000,4000,0.16891674,-0.032760134,-0.985085737,S0,
6000,1000,4100,0.489587639,-0.058818521,-0.869968002,S0,
6750,1000,5800,0.403040137,0.030010289,0.914690128,S0,
8000,1000,7200,-0.71995474,0.032105281,0.693278027,S0,
7100,1000,7200,-0.593802396,-0.116857291,0.796079825,S0,
1200,1000,11600,0.301844517,0.001215405,0.953356392,S2,1
4800,1000,8250,0.773799515,-0.082356693,0.628053888,S2,
6500,1000,6600,0.664086661,-0.029817368,-0.747060795,S2,
5000,1000,5500,-0.027520563,-0.022093508,-0.999377054,S2,
6200,1000,6000,0.368519639,0.018866844,-0.92942849,S2,
3250,1000,3500,-0.065566286,-0.181704321,-0.981164921,S2,
6900,1000,800,0.441355343,0.023477537,-0.897025232,S2,
0,1000,5000,-0.258819045,0,0.965925826,S3,
1000,1000,5000,0,0,1,S3,
2000,1000,5000,0.422618262,0,0.906307787,S3,
4000,1000,5000,0.258819045,0,0.965925826,S3,
6000,1000,5000,0,0,1,S3,
8000,1000,5000,-0.258819045,0,0.965925826,S3,
9000,1000,5000,-0.422618262,0,0.906307787,S3,
10000,1000,5000,-0.258819045,0,0.965925826,S3,
12000,1000,5000,0,0,1,S3,
5000,1000,6000,,,,S3,1
1000,1000,5000,0.999847695,0,0.017452406,S4,
9000,1000,5000,0.999847695,0,0.017452406,S4,
5000,1000,5000,,,,S4,1
